phoneType	logicalWidth	logicalHeight	physicalWidth	physicalHeight	PPI	scaleFactor	screenDiagonal	release
iPhone 16 Pro Max 	440 	956 	1320 	2868 	460 	3 	6.9 	2024-09-09
iPhone 16 Pro 	402 	874 	1206 	2622 	460 	3 	6.3 	2024-09-09
iPhone 16 Plus 	430 	932 	1290 	2796 	460 	3 	6.7 	2024-09-09
iPhone 16 	393 	852 	1179 	2556 	460 	3 	6.1 	2024-09-09
iPhone 15 Pro Max 	430 	932 	1290 	2796 	460 	3 	6.7 	2023-09-22
iPhone 15 Pro 	393 	852 	1179 	2556 	460 	3 	6.1 	2023-09-22
iPhone 15 Plus 	430 	932 	1290 	2796 	460 	3 	6.7 	2023-09-22
iPhone 15 	393 	852 	1179 	2556 	460 	3 	6.1 	2023-09-22
iPhone 14 Pro Max 	430 	932 	1290 	2796 	460 	3 	6.7 	2022-09-16
iPhone 14 Pro 	393 	852 	1179 	2556 	460 	3 	6.1 	2022-09-16
iPhone 14 Plus 	428 	926 	1284 	2778 	458 	3 	6.7 	2022-10-07
iPhone 14 	390 	844 	1170 	2532 	460 	3 	6.1 	2022-09-16
iPhone SE 3rd gen 	375 	667 	750 	1334 	326 	2 	4.7 	2022-03-08
iPhone 13 	390 	844 	1170 	2532 	460 	3 	6.06 	2021-09-14
iPhone 13 mini 	375 	812 	1080 	2340 	476 	3 	5.42 	2021-09-14
iPhone 13 Pro Max 	428 	926 	1284 	2778 	458 	3 	6.68 	2021-09-14
iPhone 13 Pro 	390 	844 	1170 	2532 	460 	3 	6.06 	2021-09-14
iPhone 12 	390 	844 	1170 	2532 	460 	3 	6.06 	2020-10-13
iPhone 12 mini 	375 	812 	1080 	2340 	476 	3 	5.42 	2020-10-13
iPhone 12 Pro Max 	428 	926 	1284 	2778 	458 	3 	6.68 	2020-10-13
iPhone 12 Pro 	390 	844 	1170 	2532 	460 	3 	6.06 	2020-10-13
iPhone SE 2nd gen 	375 	667 	750 	1334 	326 	2 	4.7 	2020-04-24
iPhone 11 Pro Max 	414 	896 	1242 	2688 	458 	3 	6.46 	2019-09-20
iPhone 11 Pro 	375 	812 	1125 	2436 	458 	3 	5.85 	2019-09-20
iPhone 11 	414 	896 	828 	1792 	326 	2 	6.1 	2019-09-20
iPhone XR 	414 	896 	828 	1792 	326 	2 	6.06 	2018-10-26
iPhone XS Max 	414 	896 	1242 	2688 	458 	3 	6.46 	2018-09-21
iPhone XS 	375 	812 	1125 	2436 	458 	3 	5.85 	2018-09-21
iPhone X 	375 	812 	1125 	2436 	458 	3 	5.85 	2017-11-03
iPhone 8 Plus 	414 	736 	1080 	1920 	401 	3 	5.5 	2017-09-22
iPhone 8 	375 	667 	750 	1334 	326 	2 	4.7 	2017-09-22
iPhone 7 Plus 	414 	736 	1080 	1920 	401 	3 	5.5 	2016-09-16
iPhone 7 	375 	667 	750 	1334 	326 	2 	4.7 	2016-09-16
iPhone 6S Plus 	414 	736 	1080 	1920 	401 	3 	5.5 	2015-09-25
iPhone 6S 	375 	667 	750 	1334 	326 	2 	4.7 	2015-09-25
iPhone 6 Plus 	414 	736 	1080 	1920 	401 	3 	5.5 	2014-09-19
iPhone 6 	375 	667 	750 	1334 	326 	2 	4.7 	2014-09-19